video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa
T1.6V_2025-08-08-19-20-36_20_32_12_,2_cornerhole,0.11366,brick_cladding,12.0,1.6,1.5
T1.6V_2025-08-05-19-57-24_20_34_14_,1_centerhole,0.52413,brick_cladding,14.0,1.6,2.2
T1.6V_2025-08-05-19-57-24_20_34_14_,2_cornerhole,0.15154,brick_cladding,14.0,1.6,2.2
T1.8V_2025-08-05-19-42-20_20_26_6_,1_centerhole,0.71198,brick_cladding,6.0,1.8,3.7
T1.8V_2025-08-05-19-42-20_20_26_6_,2_cornerhole,0.21923,brick_cladding,6.0,1.8,3.7
T1.8V_2025-08-08-19-04-55_20_28_8_,1_centerhole,0.61767,brick_cladding,8.0,1.8,2.9
T1.8V_2025-08-08-19-04-55_20_28_8_,2_cornerhole,0.18493,brick_cladding,8.0,1.8,2.9
T1.8V_2025-08-05-19-26-05_20_30_10_,1_centerhole,0.71198,brick_cladding,10.0,1.8,3.7
T1.8V_2025-08-05-19-26-05_20_30_10_,2_cornerhole,0.21923,brick_cladding,10.0,1.8,3.7
T1.8V_2025-08-08-18-53-18_20_32_12_,1_centerhole,0.61767,brick_cladding,12.0,1.8,2.9
T1.8V_2025-08-08-18-53-18_20_32_12_,2_cornerhole,0.18493,brick_cladding,12.0,1.8,2.9
T1.8V_2025-08-05-19-17-15_20_34_14_,1_centerhole,0.71198,brick_cladding,14.0,1.8,3.7
T1.8V_2025-08-05-19-17-15_20_34_14_,2_cornerhole,0.21923,brick_cladding,14.0,1.8,3.7
T2.0V_6.3Pa_2025-6-16-17-40-19_20_26_6_,1_centerhole,0.6779,brick_cladding,6.0,2.0,3.4
T2.0V_6.3Pa_2025-6-16-17-40-19_20_26_6_,2_cornerhole,0.20677,brick_cladding,6.0,2.0,3.4
T2.0V_2025-08-08-18-38-03_20_28_8_,1_centerhole,0.6779,brick_cladding,8.0,2.0,3.4
T2.0V_2025-08-08-18-38-03_20_28_8_,2_cornerhole,0.20677,brick_cladding,8.0,2.0,3.4
T2.0V_6.3Pa_2025-6-16-17-25-13_20_30_10_,1_centerhole,0.6779,brick_cladding,10.0,2.0,3.4
T2.0V_6.3Pa_2025-6-16-17-25-13_20_30_10_,2_cornerhole,0.20677,brick_cladding,10.0,2.0,3.4
T2.0V_2025-08-08-18-26-16_20_32_12_,1_centerhole,0.6779,brick_cladding,12.0,2.0,3.4
T2.0V_2025-08-08-18-26-16_20_32_12_,2_cornerhole,0.20677,brick_cladding,12.0,2.0,3.4
T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14_,1_centerhole,0.6779,brick_cladding,14.0,2.0,3.4
T2.0V_6.3Pa_2025-6-16-17-15-32_20_34_14_,2_cornerhole,0.20677,brick_cladding,14.0,2.0,3.4
T2.2V_2025-08-05-18-56-14_20_26_6_,1_centerhole,0.99759,brick_cladding,6.0,2.2,6.7
T2.2V_2025-08-05-18-56-14_20_26_6_,2_cornerhole,0.32551,brick_cladding,6.0,2.2,6.7
T2.2V_2025-08-08-18-10-33_20_28_8_,1_centerhole,0.87444,brick_cladding,8.0,2.2,5.3
T2.2V_2025-08-08-18-10-33_20_28_8_,2_cornerhole,0.27934,brick_cladding,8.0,2.2,5.3
T2.2V_2025-08-05-18-41-06_20_30_10_,1_centerhole,0.99759,brick_cladding,10.0,2.2,6.7
T2.2V_2025-08-05-18-41-06_20_30_10_,2_cornerhole,0.32551,brick_cladding,10.0,2.2,6.7
T2.2V_2025-08-08-17-58-39_20_32_12_,1_centerhole,0.87444,brick_cladding,12.0,2.2,5.3
T2.2V_2025-08-08-17-58-39_20_32_12_,2_cornerhole,0.27934,brick_cladding,12.0,2.2,5.3
T2.2V_2025-08-05-18-31-40_20_34_14_,1_centerhole,0.99759,brick_cladding,14.0,2.2,6.7
T2.2V_2025-08-05-18-31-40_20_34_14_,2_cornerhole,0.32551,brick_cladding,14.0,2.2,6.7
T2.4V_2025-08-08-17-43-01_20_28_8_,1_centerhole,1.11613,brick_cladding,8.0,2.4,8.2
T2.4V_2025-08-08-17-43-01_20_28_8_,2_cornerhole,0.3703,brick_cladding,8.0,2.4,8.2
T2.4V_2025-08-08-17-31-06_20_32_12_,1_centerhole,1.11613,brick_cladding,12.0,2.4,8.2
T2.4V_2025-08-08-17-31-06_20_32_12_,2_cornerhole,0.3703,brick_cladding,12.0,2.4,8.2
T2.6V_2025-08-05-18-16-23_20_26_6_,1_centerhole,1.24498,brick_cladding,6.0,2.6,10.0
T2.6V_2025-08-05-18-16-23_20_26_6_,2_cornerhole,0.41926,brick_cladding,6.0,2.6,10.0
T2.6V_2025-08-08-17-18-28_20_28_8_,1_centerhole,1.24498,brick_cladding,8.0,2.6,10.0
T2.6V_2025-08-08-17-18-28_20_28_8_,2_cornerhole,0.41926,brick_cladding,8.0,2.6,10.0
T2.6V_2025-08-05-17-49-47_20_30_10_,1_centerhole,1.24498,brick_cladding,10.0,2.6,10.0
T2.6V_2025-08-05-17-49-47_20_30_10_,2_cornerhole,0.41926,brick_cladding,10.0,2.6,10.0
T2.6V_2025-08-08-17-06-51_20_32_12_,1_centerhole,1.24498,brick_cladding,12.0,2.6,10.0
T2.6V_2025-08-08-17-06-51_20_32_12_,2_cornerhole,0.41926,brick_cladding,12.0,2.6,10.0
T2.6V_2025-08-05-17-40-45_20_34_14_,1_centerhole,1.24498,brick_cladding,14.0,2.6,10.0
T2.6V_2025-08-05-17-40-45_20_34_14_,2_cornerhole,0.41926,brick_cladding,14.0,2.6,10.0
T2.8V_2025-08-05-17-24-53_20_26_6_,1_centerhole,1.37528,brick_cladding,6.0,2.8,12.0
T2.8V_2025-08-05-17-24-53_20_26_6_,2_cornerhole,0.46901,brick_cladding,6.0,2.8,12.0
T2.8V_2025-08-08-16-53-57_20_28_8_,1_centerhole,1.40613,brick_cladding,8.0,2.8,12.5
T2.8V_2025-08-08-16-53-57_20_28_8_,2_cornerhole,0.48081,brick_cladding,8.0,2.8,12.5
T2.8V_2025-08-05-17-08-09_20_30_10_,1_centerhole,1.37528,brick_cladding,10.0,2.8,12.0
T2.8V_2025-08-05-17-08-09_20_30_10_,2_cornerhole,0.46901,brick_cladding,10.0,2.8,12.0
T2.8V_2025-08-08-16-41-39_20_32_12_,1_centerhole,1.40613,brick_cladding,12.0,2.8,12.5
T2.8V_2025-08-08-16-41-39_20_32_12_,2_cornerhole,0.48081,brick_cladding,12.0,2.8,12.5
T2.8V_2025-08-05-16-58-47_20_34_14_,1_centerhole,1.37528,brick_cladding,14.0,2.8,12.0
T2.8V_2025-08-05-16-58-47_20_34_14_,2_cornerhole,0.46901,brick_cladding,14.0,2.8,12.0
T3.0V_2025-08-05-16-42-45_20_26_6_,1_centerhole,1.5686,brick_cladding,6.0,3.0,15.3
T3.0V_2025-08-05-16-42-45_20_26_6_,2_cornerhole,0.54313,brick_cladding,6.0,3.0,15.3
T3.0V_2025-08-08-16-30-00_20_28_8_,1_centerhole,1.53512,brick_cladding,8.0,3.0,14.7
T3.0V_2025-08-08-16-30-00_20_28_8_,2_cornerhole,0.53027,brick_cladding,8.0,3.0,14.7
T3.0V_2025-08-05-16-23-46_20_30_10_,1_centerhole,1.5686,brick_cladding,10.0,3.0,15.3
T3.0V_2025-08-05-16-23-46_20_30_10_,2_cornerhole,0.54313,brick_cladding,10.0,3.0,15.3
T3.0V_2025-08-08-16-20-12_20_32_12_,1_centerhole,1.53512,brick_cladding,12.0,3.0,14.7
T3.0V_2025-08-08-16-20-12_20_32_12_,2_cornerhole,0.53027,brick_cladding,12.0,3.0,14.7
T3.0V_2025-08-05-16-13-44_20_34_14_,1_centerhole,1.5686,brick_cladding,14.0,3.0,15.3
T3.0V_2025-08-05-16-13-44_20_34_14_,2_cornerhole,0.54313,brick_cladding,14.0,3.0,15.3
