video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa
T2.4V_2025-08-08-17-31-06_20_32_12_,2_smallhole,0.3703,brick_cladding,12.0,2.4,8.2
T2.6V_2025-08-05-18-16-23_20_26_6_,1_largehole,1.24498,brick_cladding,6.0,2.6,10.0
T2.6V_2025-08-05-18-16-23_20_26_6_,2_smallhole,0.41926,brick_cladding,6.0,2.6,10.0
T2.6V_2025-08-08-17-18-28_20_28_8_,1_largehole,1.24498,brick_cladding,8.0,2.6,10.0
T2.6V_2025-08-08-17-18-28_20_28_8_,2_smallhole,0.41926,brick_cladding,8.0,2.6,10.0
T2.6V_2025-08-05-17-49-47_20_30_10_,1_largehole,1.24498,brick_cladding,10.0,2.6,10.0
T2.6V_2025-08-05-17-49-47_20_30_10_,2_smallhole,0.41926,brick_cladding,10.0,2.6,10.0
T2.6V_2025-08-08-17-06-51_20_32_12_,1_largehole,1.24498,brick_cladding,12.0,2.6,10.0
T2.6V_2025-08-08-17-06-51_20_32_12_,2_smallhole,0.41926,brick_cladding,12.0,2.6,10.0
T2.6V_2025-08-05-17-40-45_20_34_14_,1_largehole,1.24498,brick_cladding,14.0,2.6,10.0
T2.6V_2025-08-05-17-40-45_20_34_14_,2_smallhole,0.41926,brick_cladding,14.0,2.6,10.0
T2.8V_2025-08-05-17-24-53_20_26_6_,1_largehole,1.37528,brick_cladding,6.0,2.8,12.0
T2.8V_2025-08-05-17-24-53_20_26_6_,2_smallhole,0.46901,brick_cladding,6.0,2.8,12.0
T2.8V_2025-08-08-16-53-57_20_28_8_,1_largehole,1.40613,brick_cladding,8.0,2.8,12.5
T2.8V_2025-08-08-16-53-57_20_28_8_,2_smallhole,0.48081,brick_cladding,8.0,2.8,12.5
T2.8V_2025-08-05-17-08-09_20_30_10_,1_largehole,1.37528,brick_cladding,10.0,2.8,12.0
T2.8V_2025-08-05-17-08-09_20_30_10_,2_smallhole,0.46901,brick_cladding,10.0,2.8,12.0
T2.8V_2025-08-08-16-41-39_20_32_12_,1_largehole,1.40613,brick_cladding,12.0,2.8,12.5
T2.8V_2025-08-08-16-41-39_20_32_12_,2_smallhole,0.48081,brick_cladding,12.0,2.8,12.5
T2.8V_2025-08-05-16-58-47_20_34_14_,1_largehole,1.37528,brick_cladding,14.0,2.8,12.0
T2.8V_2025-08-05-16-58-47_20_34_14_,2_smallhole,0.46901,brick_cladding,14.0,2.8,12.0
T3.0V_2025-08-05-16-42-45_20_26_6_,1_largehole,1.5686,brick_cladding,6.0,3.0,15.3
T3.0V_2025-08-05-16-42-45_20_26_6_,2_smallhole,0.54313,brick_cladding,6.0,3.0,15.3
T3.0V_2025-08-08-16-30-00_20_28_8_,1_largehole,1.53512,brick_cladding,8.0,3.0,14.7
T3.0V_2025-08-08-16-30-00_20_28_8_,2_smallhole,0.53027,brick_cladding,8.0,3.0,14.7
T3.0V_2025-08-05-16-23-46_20_30_10_,1_largehole,1.5686,brick_cladding,10.0,3.0,15.3
T3.0V_2025-08-05-16-23-46_20_30_10_,2_smallhole,0.54313,brick_cladding,10.0,3.0,15.3
T3.0V_2025-08-08-16-20-12_20_32_12_,1_largehole,1.53512,brick_cladding,12.0,3.0,14.7
T3.0V_2025-08-08-16-20-12_20_32_12_,2_smallhole,0.53027,brick_cladding,12.0,3.0,14.7
T3.0V_2025-08-05-16-13-44_20_34_14_,1_largehole,1.5686,brick_cladding,14.0,3.0,15.3
T3.0V_2025-08-05-16-13-44_20_34_14_,2_smallhole,0.54313,brick_cladding,14.0,3.0,15.3
T1.4V_2025-07-17-17-36-27_22_26_4_,1,0.41474,gypsum,4.0,1.4,2.5
T1.4V_2025-07-17-17-08-40_22_30_8_,1,0.41474,gypsum,8.0,1.4,2.5
T1.4V_2025-08-01-18-56-23_20_28_8_,1,0.41474,gypsum,8.0,1.4,2.5
T1.4V_2025-07-17-16-56-31_22_34_12_,1,0.41474,gypsum,12.0,1.4,2.5
T1.4V_2025-08-01-18-45-09_20_32_12_,1,0.41474,gypsum,12.0,1.4,2.5
T1.6V_2025-07-28-18-04-15_20_26_6_,1,0.38087,gypsum,6.0,1.6,2.2
T1.6V_2025-07-28-17-46-40_20_30_10_,1,0.38087,gypsum,10.0,1.6,2.2
T1.6V_2025-08-01-18-32-31_20_28_12_,1,0.38087,gypsum,12.0,1.6,2.2
T1.6V_2025-08-01-18-20-58_20_32_12_,1,0.38087,gypsum,12.0,1.6,2.2
T1.6V_2025-07-28-17-36-55_20_34_14_,1,0.38087,gypsum,14.0,1.6,2.2
T1.8V_2025-07-25-17-05-54_20_26_6_,1,0.49703,gypsum,6.0,1.8,3.3
T1.8V_2025-08-01-18-10-03_20_28_8_,1,0.49703,gypsum,8.0,1.8,3.3
T1.8V_2025-07-25-16-47-16_20_30_10_,1,0.49703,gypsum,10.0,1.8,3.3
T1.8V_2025-08-01-17-59-10_20_32_12_,1,0.49703,gypsum,12.0,1.8,3.3
T1.8V_2025-07-25-16-37-05_20_34_14_,1,0.49703,gypsum,14.0,1.8,3.3
T2.0V_2025-07-17-18-40-29_22_26_4_,1,0.60481,gypsum,4.0,2.0,4.5
T2.0V_2025-07-28-17-12-33_20_26_6_,1,0.60481,gypsum,6.0,2.0,4.5
T2.0V_2025-07-17-18-13-32_22_30_8_,1,0.60481,gypsum,8.0,2.0,4.5
T2.0V_2025-08-01-17-46-36_20_28_8_,1,0.60481,gypsum,8.0,2.0,4.5
T2.0V_2025-07-28-16-55-19_20_30_10_,1,0.60481,gypsum,10.0,2.0,4.5
T2.0V_2025-07-17-18-00-56_22_34_12_,1,0.60481,gypsum,12.0,2.0,4.5
T2.0V_2025-08-01-17-36-02_20_32_12_,1,0.60481,gypsum,12.0,2.0,4.5
T2.0V_2025-07-28-16-46-09_20_34_14_,1,0.60481,gypsum,14.0,2.0,4.5
T2.2V_2025-07-25-17-49-55_20_26_6_,1,0.76483,gypsum,6.0,2.2,6.6
T2.2V_2025-07-29-18-04-49_20_28_8_,1,0.76483,gypsum,8.0,2.2,6.6
T2.2V_2025-07-25-17-32-43_20_30_10_,1,0.76483,gypsum,10.0,2.2,6.6
T2.2V_2025-07-29-17-53-01_20_32_12_,1,0.76483,gypsum,12.0,2.2,6.6
T2.2V_2025-07-25-17-23-25_20_34_14_,1,0.76483,gypsum,14.0,2.2,6.6
T2.4V_2025-07-17-19-34-26_22_26_4_,1,0.9497,gypsum,4.0,2.4,9.5
T2.4V_2025-07-17-19-09-10_22_30_8_,1,0.9497,gypsum,8.0,2.4,9.5
T2.4V_2025-07-29-17-39-52_20_28_8_,1,0.9497,gypsum,8.0,2.4,9.5
T2.4V_2025-07-17-18-57-25_22_34_12_,1,0.9497,gypsum,12.0,2.4,9.5
T2.4V_2025-07-29-17-27-52_20_32_12_,1,0.9497,gypsum,12.0,2.4,9.5
T2.6V_2025-07-25-18-32-38_20_26_6_,1,1.06148,gypsum,6.0,2.6,11.5
T2.6V_2025-07-29-17-14-55_20_28_8_,1,1.06148,gypsum,8.0,2.6,11.5
T2.6V_2025-07-25-18-16-07_20_30_10_,1,1.06148,gypsum,10.0,2.6,11.5
T2.6V_2025-07-29-17-02-30_20_32_12_,1,1.06148,gypsum,12.0,2.6,11.5
T2.6V_2025-07-25-18-06-58_20_34_14_,1,1.06148,gypsum,14.0,2.6,11.5
T2.8V_2025-07-25-19-31-52_20_26_6_,1,1.13921,gypsum,6.0,2.8,13.0
T2.8V_2025-07-29-16-50-05_20_28_8_,1,1.13921,gypsum,8.0,2.8,13.0
T2.8V_2025-07-25-19-15-29_20_30_10_,1,1.13921,gypsum,10.0,2.8,13.0
T2.8V_2025-07-29-16-36-48_20_32_12_,1,1.13921,gypsum,12.0,2.8,13.0
T2.8V_2025-07-25-19-06-06_20_34_14_,1,1.13921,gypsum,14.0,2.8,13.0
T3.0V_2025-07-28-16-17-19_20_26_6_,1,1.28246,gypsum,6.0,3.0,16.0
T3.0V_2025-07-29-15-45-24_20_28_8_,1,1.28246,gypsum,8.0,3.0,16.0
T3.0V_2025-07-28-16-03-14_20_30_10_,1,1.28246,gypsum,10.0,3.0,16.0
T3.0V_2025-07-29-15-31-55_20_32_12_,1,1.28246,gypsum,12.0,3.0,16.0
T3.0V_2025-07-28-15-54-48_20_34_14_,1,1.28246,gypsum,14.0,3.0,16.0
