video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa
temp_2025-3-7-17-19-46_21.4_32.5_11.1_,1,0.645,gypsum,11.1,1.8,5.0
T1.8V_2025-08-01-17-59-10_20_32_12_,1,0.49703,gypsum,12.0,1.8,3.3
temp_2025-3-7-17-14-11_21.4_35_13.6_,1,0.645,gypsum,13.6,1.8,5.0
T1.8V_2025-07-25-16-37-05_20_34_14_,1,0.49703,gypsum,14.0,1.8,3.3
T2.0V_2025-07-28-17-12-33_20_26_6_,1,0.60481,gypsum,6.0,2.0,4.5
T2.0V_2025-07-17-18-13-32_22_30_8_,1,0.60481,gypsum,8.0,2.0,4.5
T2.0V_2025-08-01-17-46-36_20_28_8_,1,0.60481,gypsum,8.0,2.0,4.5
T2.0V_2025-07-28-16-55-19_20_30_10_,1,0.60481,gypsum,10.0,2.0,4.5
T2.0V_2025-07-17-18-00-56_22_34_12_,1,0.60481,gypsum,12.0,2.0,4.5
T2.0V_2025-08-01-17-36-02_20_32_12_,1,0.60481,gypsum,12.0,2.0,4.5
T2.0V_2025-07-28-16-46-09_20_34_14_,1,0.60481,gypsum,14.0,2.0,4.5
temp_2025-3-7-18-53-23_21.4_26_4.6_,1,0.783,gypsum,4.6,2.1,6.9
temp_2025-3-7-18-44-27_21.4_27.5_6.1_,1,0.783,gypsum,6.1,2.1,6.9
temp_2025-3-7-18-34-6_21.4_30_8.6_,1,0.783,gypsum,8.6,2.1,6.9
temp_2025-3-7-18-12-0_21.4_32.5_11.1_,1,0.783,gypsum,11.1,2.1,6.9
temp_2025-3-7-18-6-40_21.4_35_13.6_,1,0.783,gypsum,13.6,2.1,6.9
T2.2V_2025-07-25-17-49-55_20_26_6_,1,0.76483,gypsum,6.0,2.2,6.6
T2.2V_2025-07-29-18-04-49_20_28_8_,1,0.76483,gypsum,8.0,2.2,6.6
T2.2V_2025-07-25-17-32-43_20_30_10_,1,0.76483,gypsum,10.0,2.2,6.6
T2.2V_2025-07-29-17-53-01_20_32_12_,1,0.76483,gypsum,12.0,2.2,6.6
T2.2V_2025-07-25-17-23-25_20_34_14_,1,0.76483,gypsum,14.0,2.2,6.6
T2.4V_2025-07-17-19-34-26_22_26_4_,1,0.9497,gypsum,4.0,2.4,9.5
temp_2025-2-27-18-55-1_21.7_27.5_5.8_,1,1.037,gypsum,5.8,2.4,11.0
T2.4V_2025-07-17-19-09-10_22_30_8_,1,0.9497,gypsum,8.0,2.4,9.5
T2.4V_2025-07-29-17-39-52_20_28_8_,1,0.9497,gypsum,8.0,2.4,9.5
temp_2025-2-27-18-43-42_21.7_30_8.3_,1,1.037,gypsum,8.3,2.4,11.0
temp_2025-2-27-18-36-28_21.7_32.5_10.8_,1,1.037,gypsum,10.8,2.4,11.0
T2.4V_2025-07-17-18-57-25_22_34_12_,1,0.9497,gypsum,12.0,2.4,9.5
T2.4V_2025-07-29-17-27-52_20_32_12_,1,0.9497,gypsum,12.0,2.4,9.5
temp_2025-2-27-18-31-1_21.7_35_13.3_,1,1.037,gypsum,13.3,2.4,11.0
T2.6V_2025-07-25-18-32-38_20_26_6_,1,1.06148,gypsum,6.0,2.6,11.5
T2.6V_2025-07-29-17-14-55_20_28_8_,1,1.06148,gypsum,8.0,2.6,11.5
T2.6V_2025-07-25-18-16-07_20_30_10_,1,1.06148,gypsum,10.0,2.6,11.5
T2.6V_2025-07-29-17-02-30_20_32_12_,1,1.06148,gypsum,12.0,2.6,11.5
T2.6V_2025-07-25-18-06-58_20_34_14_,1,1.06148,gypsum,14.0,2.6,11.5
T2.8V_2025-07-25-19-31-52_20_26_6_,1,1.13921,gypsum,6.0,2.8,13.0
T2.8V_2025-07-29-16-50-05_20_28_8_,1,1.13921,gypsum,8.0,2.8,13.0
T2.8V_2025-07-25-19-15-29_20_30_10_,1,1.13921,gypsum,10.0,2.8,13.0
T2.8V_2025-07-29-16-36-48_20_32_12_,1,1.13921,gypsum,12.0,2.8,13.0
T2.8V_2025-07-25-19-06-06_20_34_14_,1,1.13921,gypsum,14.0,2.8,13.0
T3.0V_2025-07-28-16-17-19_20_26_6_,1,1.28246,gypsum,6.0,3.0,16.0
T3.0V_2025-07-29-15-45-24_20_28_8_,1,1.28246,gypsum,8.0,3.0,16.0
T3.0V_2025-07-28-16-03-14_20_30_10_,1,1.28246,gypsum,10.0,3.0,16.0
T3.0V_2025-07-29-15-31-55_20_32_12_,1,1.28246,gypsum,12.0,3.0,16.0
T3.0V_2025-07-28-15-54-48_20_34_14_,1,1.28246,gypsum,14.0,3.0,16.0
